user_id,source,category
1840e0b9d4,other,Продукты,
1840e0b9d4,other,Электроника,
4e4f90fcfb,context,Электроника,
afea8d72fc,other,Электроника,
2824221f38,email,Продукты,
373a6055fe,other,Бытовая техника,
9b2ab046f3,other,Электроника,
9f39d307c3,context,Электроника,
44edeffc91,context,Продукты,
704474fa2d,other,Продукты,
1de31be403,other,Бытовая техника,
5da0dedf13,context,Досуг,
b71f36a5e4,other,Продукты,
79843a685a,context,Продукты,
ff68cee0d6,context,Бытовая техника,
e8447c40e2,email,Досуг,
b9ef8fdf47,other,Продукты,
98d290be27,other,Электроника,
3fff459bda,other,Электроника,
fa0079a5a8,other,Досуг,
fdd6b2fc76,context,Бытовая техника,
54ecd881a2,other,Бытовая техника,
22d2f03a17,context,Досуг,
c9fa1b54d5,other,Продукты,
3f8e1ccd3f,other,Электроника,
81a9988b83,context,Электроника,
65f44a2eb7,context,Досуг,
6df948569b,other,Бытовая техника,
5f8fbb0149,other,Бытовая техника,
3ecff691fd,context,Электроника,
dd0e912251,other,Электроника,
9250593d55,other,Электроника,
37c4e090e4,other,Электроника,
22fa3ea76f,other,Электроника,
73b876b237,context,Электроника,
ed6b87f95d,context,Досуг,
f983a69d67,other,Товары для животных,
4ea17212f8,other,Продукты,
c6de96a5e2,other,Товары для животных,
4175fd2e58,other,Электроника,
d8e3bcee53,context,Продукты,
680aa815f9,other,Продукты,
4a92a68cf9,other,Электроника,
905e60cb52,other,Бытовая техника,
393bcfb298,other,Продукты,
06d450cc57,context,Электроника,
b60ce22f17,other,Электроника,
6f159c4c2e,other,Товары для животных,
564202f6bd,context,Электроника,
1908683775,other,Электроника,
8fd957a463,other,Продукты,
72e0a3f1d0,other,Бытовая техника,
7f5f56e517,other,Досуг,
bc1a0a7e26,other,Досуг,
17639fe89d,other,Досуг,
74c9201f84,context,Электроника,
bc4ebda0df,other,Досуг,
fe4615dd15,other,Досуг,
d2c560746d,other,Бытовая техника,
f0a93d52d2,other,Электроника,
fe52ded300,other,Электроника,
dbe70d84e4,context,Строительство и ремонт,
f660dbcc3f,context,Электроника,
f93283c9ee,other,Бытовая техника,
66bea9bf58,other,Бытовая техника,
111c52d9bc,other,Продукты,
16dc76e94d,other,Электроника,
87f37b380c,other,Продукты,
365e3edd2e,other,Бытовая техника,
830421d975,other,Продукты,
7d6c62f0a2,context,Бытовая техника,
77465a0b61,other,Бытовая техника,
ee9eb52181,email,Товары для животных,
871c1fa9ae,other,Продукты,
03b91dba06,other,Электроника,
6cb42b2632,email,Бытовая техника,
c7f6fbe42f,other,Бытовая техника,
9ab8f3bbb8,context,Бытовая техника,
63df9ee9d3,context,Электроника,
2ffd6c724d,other,Продукты,
af24cffd03,context,Электроника,
421149bb9a,other,Строительство и ремонт,
24300c6d1c,other,Электроника,
40fe35eb76,email,Строительство и ремонт,
9ca11a651f,email,Электроника,
